name,id,nametype,recclass,mass,fall,year,reclat,reclong,city,zipcode,state
Archie,2329,Valid,H6,5070.0,Fell,1932.0,38.5,-94.3,harrisonville,64725,MO
Ash Creek,48954,Valid,L6,9500.0,Fell,2009.0,31.805,-97.01,bellmead,76691,TX
Athens,4885,Valid,LL6,265.0,Fell,1933.0,34.75,-87.0,athens,35671,AL
Atoka,4888,Valid,L6,1384.2,Fell,1945.0,34.31667,-96.15,durant,74525,OK
Aztec,4913,Valid,L6,2830.0,Fell,1938.0,36.8,-108.0,aztec,87415,NM
Bald Mountain,4925,Valid,L4,3700.0,Fell,1929.0,35.96667,-82.48333000000001,johnson city,28754,NC
Baldwyn,4926,Valid,L6,345.0,Fell,1922.0,34.5,-88.66667,tupelo,38824,MS
Battle Mountain,56133,Valid,L6,2900.0,Fell,2012.0,40.66813,-117.18913,winnemucca,89820,NV
Baxter,4977,Valid,L6,611.0,Fell,1916.0,36.75,-93.5,nixa,65624,MO
Beardsley,4984,Valid,H5,16000.0,Fell,1929.0,39.8,-101.2,north platte,67745,KS
Bells,5005,Valid,C2-ung,375.0,Fell,1961.0,33.6,-96.46667,sherman,75090,TX
Benld,5021,Valid,H6,1770.5,Fell,1938.0,39.08333,-89.15,taylorville,62080,IL
Benton,5026,Valid,LL6,2840.0,Fell,1949.0,45.95,-67.55,woodstock,04471,ME
Berthoud,47355,Valid,Eucrite-mmict,960.0,Fell,2004.0,40.30583,-105.02325,loveland,80513,CO
Black Moshannan Park,5065,Valid,L5,705.0,Fell,1941.0,40.91667,-78.08333,state college,16879,PA
Blackwell,5068,Valid,L5,2381.0,Fell,1906.0,36.83333,-97.33333,ponca city,74631,OK
Blanket,5071,Valid,L6,5100.0,Fell,1909.0,31.83333,-98.83333,brownwood,76432,TX
Bloomington,5076,Valid,LL6,67.8,Fell,1938.0,40.48,-89.00417,bloomington,61701,IL
Burnwell,5175,Valid,H4-an,1504.0,Fell,1990.0,37.62194,-82.23722,huntington,41531,KY
Canon City,5253,Valid,H6,1400.0,Fell,1973.0,38.470279999999995,-105.24139,canon city,81212,CO
Centerville,5307,Valid,H5,45.6,Fell,1956.0,43.2,-96.91667,sioux falls,57021,SD
Cherokee Springs,5340,Valid,LL6,8400.0,Fell,1933.0,35.03333,-81.88333,spartanburg,29307,SC
Chicora,5349,Valid,LL6,303.0,Fell,1938.0,40.93333,-79.73333000000001,butler,16025,PA
Claxton,5374,Valid,L6,1455.0,Fell,1984.0,32.1025,-81.87278,statesboro,30417,GA
Colby (Wisconsin),5395,Valid,L6,104000.0,Fell,1917.0,44.9,-90.28333,marshfield,54421,WI
Coleman,5401,Valid,L6,469.0,Fell,1994.0,43.761109999999995,-84.50778000000001,midland,48618,MI
Crescent,5470,Valid,CM2,78.4,Fell,1936.0,35.95,-97.58333,guthrie,73028,OK
Cumberland Falls,5496,Valid,Aubrite,17000.0,Fell,1919.0,36.83333,-84.35,somerset,42634,KY
Denver,6660,Valid,L6,230.0,Fell,1967.0,39.7825,-104.93056000000001,commerce city,80216,CO
Dresden (Ontario),7731,Valid,H6,47700.0,Fell,1939.0,42.52,-82.26,dresden,48001,MI
Eagle,7760,Valid,EL6,10000.0,Fell,1947.0,40.78167,-96.47166999999999,lincoln,68461,NE
Elbert,7822,Valid,LL6,680.5,Fell,1998.0,39.24667,-104.58816999999999,black forest,80116,CO
Farmville,10075,Valid,H4,56000.0,Fell,1934.0,35.55,-77.53333,greenville,27828,NC
Fayetteville,10079,Valid,H4,2360.0,Fell,1934.0,36.05,-94.16667,fayetteville,72703,AR
Florence,10111,Valid,H3,3640.0,Fell,1922.0,30.83333,-97.76666999999999,georgetown,76527,TX
Forksville,10123,Valid,L6,6067.0,Fell,1924.0,36.78333,-78.08333,roanoke rapids,23950,VA
Garland,10861,Valid,Diogenite-pm,102.0,Fell,1950.0,41.68333,-112.13333,brigham city,84309,UT
Hamlet,11485,Valid,LL4,3710.0,Fell,1959.0,41.38333,-86.6,plymouth,46532,IN
Harleton,11830,Valid,L6,8360.0,Fell,1961.0,32.675,-94.51167,marshall,75651,TX
Holbrook,11894,Valid,L/LL6,220000.0,Fell,1912.0,34.9,-110.18333,winslow,86025,AZ
Hoxie,11915,Valid,OC,266.1,Fell,1963.0,39.35,-100.45,hays,67740,KS
Independence,12028,Valid,L6,880.0,Fell,1917.0,39.08333,-94.4,independence,64055,MO
Johnstown,12198,Valid,Diogenite,40300.0,Fell,1924.0,40.35,-104.9,windsor,80534,CO
Kendleton,12275,Valid,L4,6937.0,Fell,1939.0,29.45,-96.0,wharton,77417,TX
Kilbourn,12308,Valid,H5,772.0,Fell,1911.0,43.58333,-89.6,portage,53920,WI
Kirbyville,12321,Valid,Eucrite-mmict,97.7,Fell,1906.0,30.75,-95.95,huntsville,77831,TX
Leedey,12755,Valid,L6,51500.0,Fell,1943.0,35.88333,-99.33333,elk city,73654,OK
Leighton,12760,Valid,H5,877.0,Fell,1907.0,34.58333,-87.5,muscle shoals,35672,AL
Lorton,52843,Valid,L6,329.7,Fell,2010.0,38.70066,-77.21163,lorton,22079,VA
Lost City,14711,Valid,H5,17000.0,Fell,1970.0,36.00833,-95.15,tahlequah,74441,OK
Louisville,14716,Valid,L6,1300.0,Fell,1977.0,38.25,-85.75,louisville,40202,KY
Malaga,15393,Valid,OC,150.0,Fell,1933.0,32.21667,-104.0,carlsbad,88256,NM
Maryville,15436,Valid,L6,1443.0,Fell,1983.0,35.8,-84.1,farragut,37737,TN
Mifflin,52090,Valid,L5,3584.0,Fell,2010.0,42.9075,-90.36556,platteville,53553,WI
Miller (Arkansas),16645,Valid,H5,16700.0,Fell,1930.0,35.4,-92.05,searcy,72543,AR
Monahans (1998),16719,Valid,H5,2587.0,Fell,1998.0,31.60833,-102.85833000000001,west odessa,79756,TX
Moore County,16736,Valid,Eucrite-cm,1880.0,Fell,1913.0,35.41667,-79.38333,sanford,28327,NC
